index,date,cash,spy
15,onw,10000,150.25
16,onw,10000,150.2
17,onw,9935.98,148.26
18,onw,9953.09,150.38
19,onw,9976.960000000001,150.9
20,onw,9993.900000000001,150.87
21,onw,10036.250000000002,152.18
22,onw,10030.86,152.34
23,onw,9968.490000000002,152.38
24,onw,10031.630000000001,153.16
25,onw,10085.53,152.29
26,onw,10094.77,150.75
27,onw,10100.160000000002,152.37
28,onw,10114.79,154.57
29,onw,10123.26,154.99
30,onw,10082.45,154.93
31,onw,10117.1,154.23
32,onw,10162.53,155.2
33,onw,10195.64,155.07
34,onw,10247.23,153.5
35,onw,10241.07,153.12
36,onw,10200.26,152.02
37,onw,10254.28,150.19
38,onw,10341.6,148.02
39,onw,10334.94,145.93
40,onw,10275,147.38
41,onw,10325.32,145.72
42,onw,10291.28,146.43
43,onw,10299.42,147.28
44,onw,10239.48,144.21
45,onw,10281.66,145.94
46,onw,10234.3,148.41
47,onw,10282.58,149.83
48,onw,10131.619999999999,145.39
49,onw,10165.249999999998,146.5
50,onw,10159.349999999999,145.7
51,onw,10122.179999999998,142.72
52,onw,10109.199999999999,141.04
53,onw,10136.929999999998,142.1
54,onw,10103.89,145.17
55,onw,10085.869999999999,144.64
56,onw,10132.449999999999,146.01
57,onw,10177.67,147.34
58,onw,10148.43,146.48
59,onw,10211.330000000002,148.33
60,onw,10137.550000000001,146.16
61,onw,10076.69,144.37
62,onw,10113.41,145.45
63,onw,10188.210000000001,147.65
64,onw,10181.41,147.45
65,onw,10206.91,148.2
66,onw,10198.75,147.96
67,onw,10148.43,146.48
68,onw,10134.49,146.07
69,onw,10140.27,146.24
70,onw,10182.77,147.49
71,onw,10219.83,148.58
72,onw,10198.75,147.96
73,onw,10210.65,148.31
74,onw,10228.33,148.83
75,onw,10384.05,153.41
76,onw,10381.67,153.34
77,onw,10359.57,152.69
78,onw,10350.9,152.435
79,onw,10296.33,150.83
80,onw,10344.609999999999,152.25
81,onw,10366.71,152.9
82,onw,10364.669999999998,152.84
83,onw,10358.549999999997,152.66
84,onw,10425.189999999997,154.62
85,onw,10397.309999999998,153.8
86,onw,10407.849999999999,154.11
87,onw,10439.129999999997,155.03
88,onw,10451.369999999997,155.39
89,onw,10457.489999999998,155.57
90,onw,10473.809999999998,156.05
91,onw,10503.729999999998,156.93
92,onw,10453.749999999998,155.46
93,onw,10381.669999999998,156.27
94,onw,10389.339999999998,154.41
95,onw,10358.979999999998,155.01
96,onw,10435.089999999997,153.45
97,onw,10466.359999999997,153.1
98,onw,10521.819999999996,148.85
99,onw,10451.439999999997,151.31
100,onw,10470.069999999996,151.2
101,onw,10486.389999999996,151.68
102,onw,10533.309999999996,153.06
103,onw,10562.889999999996,153.93
104,onw,10546.569999999996,153.45
105,onw,10564.929999999997,153.99
106,onw,10544.529999999995,153.39
107,onw,10481.289999999995,151.53
108,onw,10415.289999999995,149.63
109,onw,10303.089999999995,150.86
110,onw,10291.869999999994,150.53
111,onw,10205.509999999993,147.99
112,onw,10240.229999999992,145.57
113,onw,10422.509999999993,145.18
114,onw,10411.969999999992,145.26
115,onw,10353.069999999992,149.2
116,onw,10270.789999999994,146.78
117,onw,10248.349999999995,146.27
118,onw,10302.469999999994,145.26
119,onw,10265.509999999993,143.67
120,onw,10202.149999999994,143.07
121,onw,10137.469999999994,143.03
122,onw,10044.409999999994,144.37
123,onw,9952.359999999995,141.74
124,onw,10001.339999999995,144.19
125,onw,10083.959999999995,146.62
126,onw,10166.579999999996,149.05
127,onw,10137.679999999995,148.2
128,onw,10085.319999999994,146.66
129,onw,10127.819999999994,147.91
130,onw,10152.299999999994,148.63
131,onw,10247.159999999994,151.42
132,onw,10242.399999999994,151.28
133,onw,10274.019999999995,152.21
134,onw,10251.239999999994,151.54
135,onw,10141.759999999995,148.32
136,onw,10215.539999999995,148.05
137,onw,10232.279999999995,146.61
138,onw,10144.239999999994,146.1
139,onw,10166.559999999994,145.94
140,onw,10184.539999999994,146.84
141,onw,10202.559999999994,147.37
142,onw,10249.479999999994,148.75
143,onw,10246.079999999994,148.65
144,onw,10257.979999999994,149
145,onw,10241.999999999995,148.53
146,onw,10193.379999999994,147.1
147,onw,10173.999999999995,146.53
148,onw,10118.919999999995,144.91
149,onw,10065.539999999995,143.34
150,onw,10013.519999999995,141.81
151,onw,9952.159999999994,142.08
152,onw,9936.819999999994,139.01
153,onw,9943.899999999994,139.7
154,onw,9849.735999999994,140.77
155,onw,9767.489999999994,141.15
156,onw,9727.239999999994,140
157,onw,9635.189999999995,137.37
158,onw,9673.139999999996,137.58
159,onw,9690.464999999997,134.08
160,onw,9746.839999999997,126.4
161,onw,9690.739999999996,127.28
162,onw,9549.939999999997,134.26
163,onw,9627.989999999998,136.49
164,onw,9514.939999999997,133.26
165,onw,9614.339999999997,136.1
166,onw,9596.139999999998,135.58
167,onw,9519.839999999997,133.4
168,onw,9678.389999999996,137.93
169,onw,9723.189999999995,139.21
170,onw,9605.939999999995,135.86
171,onw,9561.139999999996,134.58
172,onw,9563.259999999997,132.11
173,onw,9506.019999999997,133.29
174,onw,9452.489999999996,133.11
175,onw,9463.169499999996,134.91
176,onw,9566.434699999996,136.06
177,onw,9539.409999999996,136.96
178,onw,9492.239999999996,134.52
179,onw,9440.829999999996,136.69
180,onw,9349.369999999997,134
181,onw,9219.319999999996,136.67
182,onw,9161.519999999997,134.97
183,onw,9180.899999999996,135.54
184,onw,9221.359999999995,136.73
185,onw,9249.579999999996,137.56
186,onw,9238.699999999997,137.24
187,onw,9182.599999999997,135.59
188,onw,9099.299999999996,133.14
189,onw,9069.039999999995,132.25
190,onw,9105.419999999995,133.32
191,onw,9064.059999999994,132.98
192,onw,9083.799999999994,129.73
193,onw,9157.119999999994,129.81
194,onw,9085.679999999993,130.72
195,onw,9082.859999999993,132.73
196,onw,8976.779999999993,129.61
197,onw,9084.219999999994,132.77
198,onw,8865.939999999993,126.35
199,onw,8864.589999999993,130.61
200,onw,8981.079999999993,134.14
201,onw,8845.779999999993,130.04
202,onw,8953.689999999993,133.31
203,onw,9004.509999999993,134.85
204,onw,8991.309999999992,134.45
205,onw,8983.719999999992,134.22
206,onw,8943.129999999992,132.99
207,onw,8887.029999999992,131.29
208,onw,9107.929999999991,133.61
209,onw,9135.189999999991,137.06
210,onw,9099.669999999991,135.95
211,onw,9131.98999999999,136.96
212,onw,9161.10999999999,137.87
213,onw,9107.98999999999,136.21
214,onw,9120.78999999999,136.61
215,onw,9081.749999999989,135.39
216,onw,9052.62999999999,134.48
217,onw,9011.349999999991,133.19
218,onw,8990.849999999991,133.5715
219,onw,8917.849999999991,134.54
220,onw,8967.019999999991,136.03
221,onw,9063.37999999999,138.95
222,onw,9039.61999999999,138.23
223,onw,9038.29999999999,138.19
224,onw,9034.669999999991,138.08
225,onw,9034.669999999991,138.08
226,onw,9031.169999999991,139.4
227,onw,9046.849999999991,139.89
228,onw,9030.849999999991,139.39
229,onw,9028.609999999991,139.32
230,onw,9000.129999999992,138.43
231,onw,9120.769999999991,142.2
232,onw,9084.289999999992,141.06
233,onw,9051.009999999991,140.02
234,onw,9110.529999999992,141.88
235,onw,9042.369999999992,139.75
236,onw,9006.209999999992,138.62
237,onw,9025.729999999992,139.23
238,onw,9076.929999999993,140.83
239,onw,9084.609999999993,141.07
240,onw,9083.649999999994,141.04
241,onw,9139.969999999994,142.8
242,onw,9138.689999999993,142.76
243,onw,9123.969999999994,142.3
244,onw,9108.929999999993,141.83
245,onw,9032.129999999994,139.43
246,onw,9027.229999999994,139.1
247,onw,9100.239999999994,137.87
248,onw,9167.369999999995,139.2
249,onw,9241.849999999995,139.17
250,onw,9217.349999999995,140.49
251,onw,9217.839999999995,139.84
252,onw,9259.979999999994,139.32
253,onw,9234.989999999994,137.77
254,onw,9288.399999999994,138.53
255,onw,9181.089999999995,139.51
256,onw,9169.329999999994,136.92
257,onw,9277.959999999995,135.6
258,onw,9276.429999999995,135.91
259,onw,9335.079999999994,134.69
260,onw,9327.939999999995,135.09
261,onw,9184.629999999996,135.5
262,onw,9238.689999999995,137.05
263,onw,9236.139999999996,134.63
264,onw,9164.379999999996,134.34
265,onw,9169.579999999994,131.6801
266,onw,9258.499999999995,132.03
267,onw,9254.859999999993,131.17
268,onw,9265.779999999993,131.73
269,onw,9134.219999999994,130.43
270,onw,9056.739999999994,128.41
271,onw,9023.979999999994,127.93
272,onw,8983.939999999995,126.61
273,onw,8992.259999999995,128.94
274,onw,8928.209999999995,127.11
275,onw,9005.009999999997,126.79
276,onw,9005.969999999996,124.99
277,onw,8990.129999999996,127.5
278,onw,8882.679999999997,124.43
279,onw,8756.439999999997,123.97
280,onw,8756.439999999997,123.97
281,onw,8686.519999999997,121.8
282,onw,8699.399999999996,121.45
283,onw,8771.619999999995,125.14
284,onw,8806.639999999996,126.17
285,onw,8818.199999999995,126.51
286,onw,8771.959999999995,125.15
287,onw,8865.119999999995,127.89
288,onw,8880.419999999995,128.34
289,onw,8784.199999999995,125.51
290,onw,8766.919999999995,125.51
291,onw,8714.899999999994,123.98
292,onw,8828.659999999994,127.11
293,onw,8876.939999999995,128.53
294,onw,8819.139999999996,126.83
295,onw,8792.279999999995,126.04
296,onw,8791.599999999995,126.02
